YEAR,Location,Death Rate,Deaths,URL
2021,AR,11.7,335,/nchs/state-stats/states/ar.html
2021,CA,6.4,2495,/nchs/state-stats/states/ca.html
2021,CO,6.3,368,/nchs/state-stats/states/co.html
2021,CT,4.8,160,/nchs/state-stats/states/ct.html
2021,DE,11.3,103,/nchs/state-stats/states/de.html
2021,District of Columbia,30,223,/nchs/state-stats/states/dc.html
2021,FL,7.4,1468,/nchs/state-stats/states/fl.html
2021,GA,11.4,1206,/nchs/state-stats/states/ga.html
2021,HI,2.7,39,/nchs/state-stats/states/hi.html
2021,ID,2.2,41,/nchs/state-stats/states/id.html
2021,IL,12.3,1487,/nchs/state-stats/states/il.html
2021,IN,9.6,624,/nchs/state-stats/states/in.html
2021,IA,3.2,94,/nchs/state-stats/states/ia.html
2021,KS,6.4,180,/nchs/state-stats/states/ks.html
2021,KY,9.6,408,/nchs/state-stats/states/ky.html
2021,LA,21.3,943,/nchs/state-stats/states/la.html
2021,ME,1.7,20,/nchs/state-stats/states/me.html
2021,MD,12.2,709,/nchs/state-stats/states/md.html
2021,MA,2.3,160,/nchs/state-stats/states/ma.html
2021,MI,8.7,822,/nchs/state-stats/states/mi.html
2021,MN,4.3,232,/nchs/state-stats/states/mn.html
2021,MS,23.7,656,/nchs/state-stats/states/ms.html
2021,MO,12.4,716,/nchs/state-stats/states/mo.html
2021,MT,4.4,46,/nchs/state-stats/states/mt.html
2021,NE,3.6,70,/nchs/state-stats/states/ne.html
2021,NV,8.5,264,/nchs/state-stats/states/nv.html
2021,NH,0,15,/nchs/state-stats/states/nh.html
2021,NJ,4.8,409,/nchs/state-stats/states/nj.html
2021,NM,15.3,306,/nchs/state-stats/states/nm.html
2021,NY,4.8,918,/nchs/state-stats/states/ny.html
2021,NC,9.7,991,/nchs/state-stats/states/nc.html
2021,ND,3.4,24,/nchs/state-stats/states/nd.html
2021,OH,9.3,1020,/nchs/state-stats/states/oh.html
2021,OK,8.9,342,/nchs/state-stats/states/ok.html
2021,OR,4.9,204,/nchs/state-stats/states/or.html
2021,PA,9.2,1101,/nchs/state-stats/states/pa.html
2021,RI,3.6,40,/nchs/state-stats/states/ri.html
